Newscreen#,Cue#forinput,Typeofchange,StartingGain,StartingFrequency,EndingGain,EndingFrequency,StartTactorlocation,EndingtactorLocation,StartingISI,EndingISI,StartingPulseDuration,EndingPulseDuration,StartChangeafterpulse#,EndChangeafterpulse#
1,1,Intensity,147,2500,105,2500,1,-,500,-,500,-,3,4
2,1,Intensity,147,2500,69,2500,1,-,500,-,500,-,3,4
3,1,Intensity,147,2500,195,2500,1,-,500,-,500,-,3,4
4,1,Intensity,147,2500,225,2500,1,-,500,-,500,-,3,4
5,1,Intensity,147,2500,240,2500,1,-,500,-,500,-,3,4
6,1,Temporal,147,2500,147,-,1,-,500,300,500,500,4,-
7,1,Temporal,147,2500,147,-,1,-,500,200,500,500,4,-
8,1,Temporal,147,2500,147,-,1,-,500,100,500,500,4,-
9,1,Temporal,147,2500,147,-,1,-,500,700,500,500,4,-
10,1,Temporal,147,2500,147,-,1,-,500,800,500,500,4,-
11,1,Temporal,147,2500,147,-,1,-,500,900,500,500,4,-
12,1,Temporal,147,2500,147,-,1,-,400,300,400,400,4,-
13,1,Temporal,147,2500,147,-,1,-,400,200,400,400,4,-
14,1,Temporal,147,2500,147,-,1,-,400,100,400,400,4,-
15,1,Temporal,147,2500,147,-,1,-,400,500,400,400,4,-
16,1,Temporal,147,2500,147,-,1,-,400,600,400,400,4,-
17,1,Temporal,147,2500,147,-,1,-,400,700,400,400,4,-
18,1,Temporal,147,2500,147,-,1,-,400,400,400,300,4,-
19,1,Temporal,147,2500,147,-,1,-,400,400,400,200,4,-
20,1,Temporal,147,2500,147,-,1,-,400,400,400,500,4,-
21,1,Temporal,147,2500,147,-,1,-,400,400,400,600,4,-
22,1,Temporal,147,2500,147,-,1,-,400,400,500,500,4,-
23,1,Temporal,147,2500,147,-,1,-,500,500,500,300,4,-
24,1,Temporal,147,2500,147,-,1,-,500,500,500,200,4,-
25,1,Temporal,147,2500,147,-,1,-,500,500,500,100,4,-
26,1,Temporal,147,2500,147,-,1,-,500,500,500,700,4,-
27,1,Temporal,147,2500,147,-,1,-,500,500,500,800,4,-
28,1,Temporal,147,2500,147,-,1,-,500,500,500,900,4,-
